gene,pi_tissue_slope_rho,pi_tissue_slope_p,pi_tissue_young
SMIM12,0.39999999999999997,0.6,0.6196621
GJA4,0.7999999999999999,0.20000000000000007,0.92067474
RP5-997D16.2,0.39999999999999997,0.6,0.6564298
RP11-244H3.1,-0.39999999999999997,0.6,0.76080173
TMEM35B,-0.39999999999999997,0.6,0.8768548
ZMYM6,0.39999999999999997,0.6,0.78069043
ZMYM1,0.39999999999999997,0.6,0.80732054
SFPQ,-0.7999999999999999,0.20000000000000007,0.8038955
ZMYM4,-0.7999999999999999,0.20000000000000007,0.8755541
RPL5P4,-0.7999999999999999,0.20000000000000007,0.80039173
KIAA0319L,-0.39999999999999997,0.6,0.5451332
NCDN,-0.7999999999999999,0.20000000000000007,0.78043616
RP4-728D4.2,-0.39999999999999997,0.6,0.7071403
TFAP2E,0.0,1.0,0.84671533
PSMB2,-0.19999999999999998,0.8,0.709071
C1orf216,0.39999999999999997,0.6,0.83295846
AGO4,-0.39999999999999997,0.6,0.40155125
AGO1,-0.7999999999999999,0.20000000000000007,0.65504265
AGO3,0.0,1.0,0.7697837
ADPRHL2,1.0,0.0,0.61582977
COL8A2,0.0,1.0,0.87296253
TRAPPC3,0.19999999999999998,0.8,0.8126441
MAP7D1,-0.7999999999999999,0.20000000000000007,0.51140606
THRAP3,-0.7999999999999999,0.20000000000000007,0.5634229
SH3D21,-0.39999999999999997,0.6,0.9086076
EVA1B,0.7999999999999999,0.20000000000000007,0.82704514
RP11-268J15.5,-0.6000000000000001,0.3999999999999999,0.85635096
STK40,-1.0,0.0,0.53751194
LSM10,-1.0,0.0,0.6615268
OSCP1,0.6000000000000001,0.3999999999999999,0.9120934
MRPS15,-0.39999999999999997,0.6,0.8518525
CSF3R,-1.0,0.0,0.96298534
GRIK3,-0.19999999999999998,0.8,0.32588428
LINC01137,1.0,0.0,0.43002886
ZC3H12A,-1.0,0.0,0.6416114
MEAF6,-0.39999999999999997,0.6,0.77782285
SNIP1,-0.7999999999999999,0.20000000000000007,0.6782976
DNALI1,-0.19999999999999998,0.8,0.9323673
GNL2,-0.39999999999999997,0.6,0.7596275
RSPO1,0.19999999999999998,0.8,0.8020542
C1orf109,-0.39999999999999997,0.6,0.8463816
