"","donor","tissue","age_mid","Residuals"
"DHDDS",0.0159355786938746,0.836275242718925,0.00178605475793329,0.146003123829267
"ANKRD37",0.0876062458752995,0.630610920389461,0.0144888008168262,0.267294032918413
"RNF25",0.0212808971340137,0.696360171938816,0.00423080341277898,0.278128127514391
"LIN54",0.0237481741604214,0.37204214988727,6.45347085137517e-05,0.604145141243795
"RP11-552M11.4",0.0203437325351632,0.542479322024408,1.96549723884705e-05,0.43715729046804
"PRUNE1",0.00348350942337609,0.685499004857538,0.00260635199575953,0.308411133723327
"LGALS8",0.0264371037462012,0.773946412598907,5.13677039861505e-05,0.199565115950905
"CHN1",0.00721915931263641,0.908416974760746,0.000180922411458474,0.0841829435151595
"PER2",0.0972885103719919,0.674190124903291,0.0126608215941419,0.215860543130575
"FBXO45",0.014761039279517,0.795968955654369,0.00260736079539154,0.186662644270722
"FILIP1L",0.0312197814463497,0.866190298764187,0.0026072039653584,0.0999827158241047
"LRRC8D",0.0102862554486795,0.538688763980796,0.0030029905791909,0.448021989991334
"NBPF9",0.0152421941650904,0.878190731239351,0.00119603296642622,0.105371041629133
"ECT2",0.0569850596104417,0.684539241742448,0.000149487910658953,0.258326210736451
"RP4-794H19.1",0.00317495495846155,0.687724497035504,8.08063186768343e-06,0.309092467374166
"C5orf63",0.0302839080382708,0.827003542358247,1.21822221574431e-05,0.142700367381325
"ARSB",0.0313931538737339,0.695513808726809,0.000121469593830677,0.272971567805627
"LAMB3",0.0202836147534284,0.805456824915424,0.00074530729104907,0.173514253040099
"PCDHB16",0.0452610752894694,0.839541348895826,0.00919360380503957,0.106003972009665
"ELP6",0.0647461706992793,0.732593943812512,0.00301730723132779,0.199642578256881
"BX470102.3",0,0.550731592194932,0.00242943974979021,0.446838968055278
"TXNDC5",0.0169190080859834,0.771080771476974,0.00114070816358544,0.210859512273458
"DPH2",0.0289739941772303,0.653631387045446,0.00109654651772188,0.316298072259602
"ACAP3",0.0676836333689357,0.72573649547264,0.00103231644698048,0.205547554711444
"TAP1",0.0226960856764509,0.695216128909432,9.75955789693918e-06,0.28207802585622
"TNFRSF25",0.068870348166357,0.742557117866008,0.00267986862883291,0.185892665338802
"RP11-395A13.2",0.072043876355329,0.518485731275547,3.26401309983829e-05,0.409437752238126
"PRELP",0.0284151497066881,0.898306545923735,0.000678417097507082,0.0725998872720703
"AC074117.10",0.0392403865393145,0.768089296146079,0.00128237347549804,0.191387943839109
"ERBIN",0.0125302360916767,0.556456855559076,0.000142499600273948,0.430870408748974
"RAC1P2",0.167161588588528,0.203559847535458,0.00634904324566794,0.622929520630347
"ZNF852",0.0187558768891595,0.606968024648871,0.000344245806183004,0.373931852655786
"RP11-54O7.3",0.0274140628553189,0.700252177148402,0.0189444549658721,0.253389305030407
"MCUB",0.0192352476131517,0.733264793266787,0.00190283365390662,0.245597125466155
"PIK3CA",0.0447258545223563,0.659246441663757,0.00812333051406035,0.287904373299827
"TNFAIP8L2",0.0342319851944667,0.746101181100364,0.00821922921969169,0.211447604485477
"LINC00982",0.0079088132882569,0.923411960977324,0.00215253710932109,0.0665266886250984
"GPR89A",0.0184398903282761,0.750022072856915,0.00162908399668759,0.229908952818121
"FAM13B",0.0124579779985672,0.818386821252916,1.34250858517424e-06,0.169153858239932
"SDPR",0.0278584257879818,0.74943533580786,8.20563489053685e-06,0.222698032769267
"ANGPTL7",0.0439987139041809,0.407813449816602,2.3177025454245e-05,0.548164659253762
"ICMT",0.0233776125674263,0.845390959031307,0.000344558448664386,0.130886869952602
"STK17B",0.0470746992542782,0.788045644072391,0.00100676563748601,0.163872891035844
"PLCD4",0.0217726445720343,0.876539194463994,0.00262472259421436,0.0990634383697572
"LRRC47",0.00751764904030304,0.868723550299176,0.0018392731109183,0.121919527549602
"NEMP2",0.0160532306944376,0.826947738265744,3.69914052714264e-05,0.156962039634547
"HIST1H4H",0.0396148620031874,0.517134240997188,0.00284228811178351,0.440408608887841
"KCNT2",0.0314712287386906,0.824952038172751,0.00060864581085338,0.142968087277705
"LINC02019",0.0868033465835389,0.378762878704343,0.00695161520284164,0.527482159509277
